,source,target,oneway,lanes,bridge,frequency,highway,num of detections,width,osmid,geometry,ref,service,maxspeed,length,access,name,tunnel,log_date
247,4807661858,4807661877,False,,,0.3333333333333333,track,1,,488473714,"LINESTRING (2.6108143 39.5592293, 2.6108583 39.5592643, 2.6108878 39.5593481, 2.6109267 39.5594732, 2.6110246 39.559621, 2.6111627 39.5597658, 2.6113384 39.5599209, 2.6114511 39.5600057, 2.611494 39.5600295, 2.6116227 39.5600543, 2.6117408 39.5600284, 2.6118507 39.5599933, 2.6119459 39.559939, 2.6120573 39.5598764, 2.6121424 39.5598351)",,,,171.43400000000003,,,,"03/11/2020, 19:57:46"
248,4807661877,4807661884,False,,,0.3333333333333333,path,1,,488473711,"LINESTRING (2.6121424 39.5598351, 2.612137 39.5597849, 2.6121659 39.5597632, 2.6122497 39.5597637, 2.6123503 39.5597239, 2.6124234 39.5596965, 2.6124824 39.5596681)",,,,38.867,,,,"03/11/2020, 19:57:46"
249,4807661877,4807661880,False,,,0.3333333333333333,"['steps', 'path']",1,,"[488473710, 488473711]","LINESTRING (2.6121424 39.5598351, 2.6122007 39.5598387, 2.6122799 39.559893)",,,,14.100000000000001,,,,"03/11/2020, 19:57:46"
250,4807661877,4807661858,False,,,0.3333333333333333,track,1,,488473714,"LINESTRING (2.6121424 39.5598351, 2.6120573 39.5598764, 2.6119459 39.559939, 2.6118507 39.5599933, 2.6117408 39.5600284, 2.6116227 39.5600543, 2.611494 39.5600295, 2.6114511 39.5600057, 2.6113384 39.5599209, 2.6111627 39.5597658, 2.6110246 39.559621, 2.6109267 39.5594732, 2.6108878 39.5593481, 2.6108583 39.5592643, 2.6108143 39.5592293)",,,,171.434,,,,"03/11/2020, 19:57:46"
251,368249141,368237431,True,,,0.5,residential,1,,32725185,,,,40,104.731,,Carrer de la Salut,,"03/11/2020, 19:57:46"
252,368249141,392293425,True,,,0.5,residential,1,,34206473,,,,,45.121,,Carrer de Bellver,,"03/11/2020, 19:57:46"
253,317813046,4807660710,False,,,0.25,track,1,,108910151,"LINESTRING (2.619851 39.5669821, 2.6197083 39.5668505, 2.6195789 39.5667143, 2.6195339 39.5666643, 2.6195312 39.56662)",,,,49.541999999999994,no,,,"03/11/2020, 19:57:46"
254,317813046,317813053,False,,,0.25,track,1,,108910151,"LINESTRING (2.619851 39.5669821, 2.6198691 39.5670359, 2.6198659 39.5670801, 2.6198734 39.5671271)",,,,16.368000000000002,no,,,"03/11/2020, 19:57:46"
255,317813046,1248430254,False,,,0.25,path,1,,216998778,"LINESTRING (2.619851 39.5669821, 2.6201001 39.566652, 2.6202523 39.5664065, 2.6203689 39.5662433)",,,,93.437,,,,"03/11/2020, 19:57:46"
256,317813046,317813066,False,,,0.25,path,1,,216998778,"LINESTRING (2.619851 39.5669821, 2.6199269 39.5670087, 2.6200543 39.5670356, 2.6201683 39.5671379, 2.6202502 39.5672361)",,,,46.447,,,,"03/11/2020, 19:57:46"
